funding_round_permalink,interval,funding_round,company_country_code,company_sector,time_since_first_investment,time_since_last_investment,company_age,avg_time_between_rounds,investor_country_code,investor_name
/funding-round/383a9bd2c04f7038bb543ccef5ba3eae,"[ 791647 , 1300000 )",seed,USA,['Information Technology'],35.5,1.0,59.93,8.67,['USA'],['Nexus Venture Partners']
/funding-round/3bb2ee4a2d89251a10aaa735b1180e44,"[ 10000000 , 20000000 )",venture B,USA,['Information Technology'],35.5,1.0,59.93,8.67,['USA'],"['Capital One' 'Nexus Venture Partners' 'Paxion Capital Partners'
 'Transamerica']"
/funding-round/e1cfcbe1bdf4c70277c5f29a3482f24e,"[ 3791804 , 6000000 )",venture A,USA,['Information Technology'],35.5,1.0,59.93,8.67,['USA'],"['Nexus Venture Partners' 'Transamerica Ventures' 'Ash Bhardwaj'
 'Michael Marks' 'Rajesh Ambati' 'Rakesh Mathur']"
/funding-round/03b975068632eba5bfdb937ec8c07a68,"[ 791647 , 1300000 )",seed,USA,['Information Technology'],53.27,22.23,52.87,10.34,['USA' 'FRA'],['Camp One Ventures' 'Kima Ventures' 'Rick Marini' 'VK Rajaram']
/funding-round/e82464f22241715dd1a6c77241055ed1,"[ 791647 , 1300000 )",seed,USA,['Information Technology'],53.27,22.23,52.87,10.34,['USA'],"['CRV' 'General Catalyst Partners' 'SV Angel' 'True Ventures'
 'Gary Vaynerchuk' 'Keith Rabois' 'Michael Dearing' 'Naval Ravikant']"
/funding-round/502bd0e50c27616995e4bdad24605ef8,"[ 2100000 , 3791804 )",venture A,USA,['Information Technology'],72.1,58.4,66.07,6.85,['USA'],"['Felicis Ventures' 'FLOODGATE' 'Founder Collective' 'Greylock Partners'
 'Signatures Capital' 'Bobby Yazdani' 'Caterina Fake' 'Chris Sacca'
 'Keith Rabois' 'Paul Buchheit' 'Ron Conway']"
/funding-round/bbbda407fa8638d944ecfdd042230c4b,"[ 10000000 , 20000000 )",venture B,CHN,['Consumer Discretionary'],19.5,19.5,50.83,1.0,['CHN'],['Softbank China Venture Capital']
/funding-round/4ff51088be233a23c013689d680f04e5,"[ 791647 , 1300000 )",seed,AUS,"['Consumer Discretionary', 'Information Technology', 'Communication Services']",43.73,29.57,46.73,4.72,['AUS' 'SGP'],['Adventure Capital' 'SingTel Innov8']
/funding-round/2dc9ff9c590200195228ce2e153a1423,"[ 6000000 , 10000000 )",venture A,USA,"['Communication Services', 'Information Technology', 'Financials']",78.23,56.03,71.77,11.1,['USA'],['BlueRun Ventures' 'Founders Fund']
/funding-round/3d40399001b0a2088620030afc533c83,"[ 10000000 , 20000000 )",venture B,USA,"['Communication Services', 'Information Technology', 'Financials']",78.23,56.03,71.77,11.1,['USA'],['BlueRun Ventures' 'Founders Fund' 'SV Angel' 'Mark Kingdon']
