x-axis,value,Transformation,Category
angel,3805.0,Count,Funding Type
convertible_note,1139.0,Count,Funding Type
debt_financing,5294.0,Count,Funding Type
equity_crowdfunding,937.0,Count,Funding Type
grant,1649.0,Count,Funding Type
non_equity_assistance,60.0,Count,Funding Type
post_ipo_debt,116.0,Count,Funding Type
post_ipo_equity,476.0,Count,Funding Type
private_equity,1506.0,Count,Funding Type
product_crowdfunding,312.0,Count,Funding Type
secondary_market,21.0,Count,Funding Type
seed,18645.0,Count,Funding Type
undisclosed,1248.0,Count,Funding Type
venture,17540.0,Count,Funding Type
venture A,10051.0,Count,Funding Type
venture B,6351.0,Count,Funding Type
venture C,3344.0,Count,Funding Type
venture D,1502.0,Count,Funding Type
venture E,609.0,Count,Funding Type
venture F,202.0,Count,Funding Type
venture G,55.0,Count,Funding Type
venture H,7.0,Count,Funding Type
angel,3253147467.0,Sum,Funding Type
convertible_note,1596223708.0,Sum,Funding Type
debt_financing,98803140325.0,Sum,Funding Type
equity_crowdfunding,474499702.0,Sum,Funding Type
grant,6953851124.0,Sum,Funding Type
non_equity_assistance,28656935.0,Sum,Funding Type
post_ipo_debt,18575570222.0,Sum,Funding Type
post_ipo_equity,42369351607.0,Sum,Funding Type
private_equity,111176427322.0,Sum,Funding Type
product_crowdfunding,405790308.0,Sum,Funding Type
secondary_market,2222042718.0,Sum,Funding Type
seed,13335481116.0,Sum,Funding Type
undisclosed,22055570593.0,Sum,Funding Type
venture,142026060435.0,Sum,Funding Type
venture A,70734001425.0,Sum,Funding Type
venture B,94289597695.0,Sum,Funding Type
venture C,71092544673.0,Sum,Funding Type
venture D,45545070811.0,Sum,Funding Type
venture E,28151735043.0,Sum,Funding Type
venture F,10579926559.0,Sum,Funding Type
venture G,3858242243.0,Sum,Funding Type
venture H,963500000.0,Sum,Funding Type
angel,3253147467.0,Average,Funding Type
convertible_note,1596223708.0,Average,Funding Type
debt_financing,98803140325.0,Average,Funding Type
equity_crowdfunding,474499702.0,Average,Funding Type
grant,6953851124.0,Average,Funding Type
non_equity_assistance,28656935.0,Average,Funding Type
post_ipo_debt,18575570222.0,Average,Funding Type
post_ipo_equity,42369351607.0,Average,Funding Type
private_equity,111176427322.0,Average,Funding Type
product_crowdfunding,405790308.0,Average,Funding Type
secondary_market,2222042718.0,Average,Funding Type
seed,13335481116.0,Average,Funding Type
undisclosed,22055570593.0,Average,Funding Type
venture,142026060435.0,Average,Funding Type
venture A,70734001425.0,Average,Funding Type
venture B,94289597695.0,Average,Funding Type
venture C,71092544673.0,Average,Funding Type
venture D,45545070811.0,Average,Funding Type
venture E,28151735043.0,Average,Funding Type
venture F,10579926559.0,Average,Funding Type
venture G,3858242243.0,Average,Funding Type
venture H,963500000.0,Average,Funding Type
ARG,150.0,Count,Company Country
AUS,393.0,Count,Company Country
AUT,111.0,Count,Company Country
BEL,163.0,Count,Company Country
BRA,342.0,Count,Company Country
CAN,1551.0,Count,Company Country
CHE,268.0,Count,Company Country
CHL,266.0,Count,Company Country
CHN,1229.0,Count,Company Country
DEU,869.0,Count,Company Country
DNK,248.0,Count,Company Country
ESP,602.0,Count,Company Country
FIN,231.0,Count,Company Country
