x-axis,value,Year,Transformation,Category
Consumer Discretionary,250000.0,1977,Sum,Sector
Consumer Staples,250000.0,1977,Sum,Sector
Information Technology,250000.0,1977,Sum,Sector
Information Technology,1000000.0,1979,Sum,Sector
Consumer Discretionary,155000.0,1982,Sum,Sector
Health Care,155000.0,1982,Sum,Sector
Communication Services,100000.0,1984,Sum,Sector
Information Technology,100000.0,1984,Sum,Sector
Industrials,243000.0,1985,Sum,Sector
Information Technology,666000.0,1985,Sum,Sector
Communication Services,2500000.0,1987,Sum,Sector
Consumer Discretionary,476000.0,1987,Sum,Sector
Industrials,2976000.0,1987,Sum,Sector
Information Technology,2500000.0,1987,Sum,Sector
Materials,476000.0,1987,Sum,Sector
Industrials,15000.0,1989,Sum,Sector
Communication Services,18550000.0,1990,Sum,Sector
Consumer Discretionary,1060000.0,1990,Sum,Sector
Industrials,1000000.0,1990,Sum,Sector
Information Technology,1000000.0,1990,Sum,Sector
Consumer Staples,498000.0,1992,Sum,Sector
Industrials,498000.0,1992,Sum,Sector
Information Technology,2010000.0,1992,Sum,Sector
Industrials,125000.0,1993,Sum,Sector
Communication Services,400000.0,1994,Sum,Sector
Consumer Staples,1000000.0,1994,Sum,Sector
Energy,1000000.0,1994,Sum,Sector
Financials,50400000.0,1994,Sum,Sector
Industrials,100000.0,1994,Sum,Sector
Information Technology,134678950.0,1994,Sum,Sector
Communication Services,6800000.0,1995,Sum,Sector
Consumer Discretionary,7300000.0,1995,Sum,Sector
Financials,150500000.0,1995,Sum,Sector
Industrials,150000000.0,1995,Sum,Sector
Information Technology,17300000.0,1995,Sum,Sector
Communication Services,6000000.0,1996,Sum,Sector
Financials,43930000.0,1996,Sum,Sector
Industrials,23900000.0,1996,Sum,Sector
Information Technology,145481390.0,1996,Sum,Sector
Communication Services,59500000.0,1997,Sum,Sector
Consumer Discretionary,6700000.0,1997,Sum,Sector
Financials,13220000.0,1997,Sum,Sector
Industrials,64800000.0,1997,Sum,Sector
Information Technology,106150000.0,1997,Sum,Sector
Communication Services,34502000.0,1998,Sum,Sector
Consumer Discretionary,79036990.0,1998,Sum,Sector
Financials,77336990.0,1998,Sum,Sector
Health Care,2400000.0,1998,Sum,Sector
Industrials,154236990.0,1998,Sum,Sector
Information Technology,214636990.0,1998,Sum,Sector
Real Estate,77336990.0,1998,Sum,Sector
Communication Services,514819246.0,1999,Sum,Sector
Consumer Discretionary,241729857.0,1999,Sum,Sector
Consumer Staples,155300000.0,1999,Sum,Sector
Energy,15356300.0,1999,Sum,Sector
Financials,169204000.0,1999,Sum,Sector
Health Care,29936100.0,1999,Sum,Sector
Industrials,1088609363.0,1999,Sum,Sector
Information Technology,1678753838.0,1999,Sum,Sector
Real Estate,12200000.0,1999,Sum,Sector
Utilities,137000.0,1999,Sum,Sector
Communication Services,1291516431.0,2000,Sum,Sector
Consumer Discretionary,626084613.0,2000,Sum,Sector
Consumer Staples,72000000.0,2000,Sum,Sector
Energy,76100000.0,2000,Sum,Sector
Financials,569046361.0,2000,Sum,Sector
Health Care,561424470.0,2000,Sum,Sector
Industrials,13805249851.0,2000,Sum,Sector
Information Technology,15275886636.0,2000,Sum,Sector
Materials,23338834.0,2000,Sum,Sector
Real Estate,13050000.0,2000,Sum,Sector
Communication Services,1682705751.0,2001,Sum,Sector
Consumer Discretionary,599269171.0,2001,Sum,Sector
Consumer Staples,36417416.0,2001,Sum,Sector
Energy,30400000.0,2001,Sum,Sector
Financials,5743048055.0,2001,Sum,Sector
Health Care,701196661.0,2001,Sum,Sector
Industrials,7796368955.0,2001,Sum,Sector
Information Technology,5243867880.0,2001,Sum,Sector
Materials,11681663.0,2001,Sum,Sector
Real Estate,155286332.0,2001,Sum,Sector
Utilities,55500000.0,2001,Sum,Sector
Communication Services,1405170149.0,2002,Sum,Sector
Consumer Discretionary,603571317.0,2002,Sum,Sector
Consumer Staples,46944174.0,2002,Sum,Sector
Energy,160825000.0,2002,Sum,Sector
Financials,767092132.0,2002,Sum,Sector
Health Care,1119335199.0,2002,Sum,Sector
Industrials,2447285139.0,2002,Sum,Sector
Information Technology,3786915545.0,2002,Sum,Sector
Materials,82000000.0,2002,Sum,Sector
Real Estate,105975000.0,2002,Sum,Sector
Utilities,101000000.0,2002,Sum,Sector
Communication Services,5867988839.0,2003,Sum,Sector
Consumer Discretionary,951602138.0,2003,Sum,Sector
Consumer Staples,125656046.0,2003,Sum,Sector
Energy,604037939.0,2003,Sum,Sector
Financials,658498002.0,2003,Sum,Sector
Health Care,2445535582.0,2003,Sum,Sector
Industrials,3005066278.0,2003,Sum,Sector
Information Technology,4588274352.0,2003,Sum,Sector
Materials,74500000.0,2003,Sum,Sector
Real Estate,97155000.0,2003,Sum,Sector
Utilities,49500000.0,2003,Sum,Sector
Communication Services,2179157353.0,2004,Sum,Sector
Consumer Discretionary,1049058840.0,2004,Sum,Sector
Consumer Staples,46900000.0,2004,Sum,Sector
Energy,611512895.0,2004,Sum,Sector
Financials,1043927517.0,2004,Sum,Sector
Health Care,3923372921.0,2004,Sum,Sector
Industrials,3434491910.0,2004,Sum,Sector
Information Technology,5684061971.0,2004,Sum,Sector
Materials,29152305.0,2004,Sum,Sector
Real Estate,216500000.0,2004,Sum,Sector
Utilities,19900000.0,2004,Sum,Sector
Communication Services,1951621533.0,2005,Sum,Sector
Consumer Discretionary,1700487245.0,2005,Sum,Sector
Consumer Staples,138393238.0,2005,Sum,Sector
Energy,284221945.0,2005,Sum,Sector
Financials,1005006529.0,2005,Sum,Sector
Health Care,3119038258.0,2005,Sum,Sector
Industrials,4295404966.0,2005,Sum,Sector
Information Technology,10135595859.0,2005,Sum,Sector
Materials,154946000.0,2005,Sum,Sector
Real Estate,182994033.0,2005,Sum,Sector
Utilities,48859542.0,2005,Sum,Sector
Communication Services,3729454295.0,2006,Sum,Sector
Consumer Discretionary,2902026162.0,2006,Sum,Sector
Consumer Staples,108843884.0,2006,Sum,Sector
Energy,721702483.0,2006,Sum,Sector
Financials,915895181.0,2006,Sum,Sector
Health Care,5159603417.0,2006,Sum,Sector
Industrials,3653151893.0,2006,Sum,Sector
Information Technology,28955716711.0,2006,Sum,Sector
Materials,167160000.0,2006,Sum,Sector
Real Estate,1655410259.0,2006,Sum,Sector
Utilities,75341877.0,2006,Sum,Sector
Communication Services,5721177160.0,2007,Sum,Sector
Consumer Discretionary,5180256212.0,2007,Sum,Sector
Consumer Staples,152231463.0,2007,Sum,Sector
Energy,3620470607.0,2007,Sum,Sector
Financials,2066245173.0,2007,Sum,Sector
Health Care,8534507109.0,2007,Sum,Sector
Industrials,5350679023.0,2007,Sum,Sector
Information Technology,14697302483.0,2007,Sum,Sector
Materials,327887101.0,2007,Sum,Sector
Real Estate,406867002.0,2007,Sum,Sector
Utilities,348624539.0,2007,Sum,Sector
Communication Services,6733622947.0,2008,Sum,Sector
Consumer Discretionary,5001544316.0,2008,Sum,Sector
Consumer Staples,193286076.0,2008,Sum,Sector
Energy,6775300111.0,2008,Sum,Sector
Financials,2145094327.0,2008,Sum,Sector
Health Care,4995872304.0,2008,Sum,Sector
Industrials,6264331178.0,2008,Sum,Sector
Information Technology,18670916271.0,2008,Sum,Sector
Materials,831894784.0,2008,Sum,Sector
Real Estate,279899829.0,2008,Sum,Sector
Utilities,674990155.0,2008,Sum,Sector
Communication Services,6658721859.0,2009,Sum,Sector
Consumer Discretionary,5164130719.0,2009,Sum,Sector
Consumer Staples,572674563.0,2009,Sum,Sector
Energy,5327355254.0,2009,Sum,Sector
Financials,2186249651.0,2009,Sum,Sector
Health Care,11470118583.0,2009,Sum,Sector
Industrials,7132254132.0,2009,Sum,Sector
Information Technology,15674046750.0,2009,Sum,Sector
Materials,305204135.0,2009,Sum,Sector
Real Estate,305222600.0,2009,Sum,Sector
Utilities,391193767.0,2009,Sum,Sector
Communication Services,7202719980.0,2010,Sum,Sector
Consumer Discretionary,7347343942.0,2010,Sum,Sector
Consumer Staples,1403140818.0,2010,Sum,Sector
Energy,5460045120.0,2010,Sum,Sector
Financials,3194236381.0,2010,Sum,Sector
Health Care,13408828580.0,2010,Sum,Sector
Industrials,9774195413.0,2010,Sum,Sector
Information Technology,20191218952.0,2010,Sum,Sector
Materials,472943138.0,2010,Sum,Sector
Real Estate,368260544.0,2010,Sum,Sector
Utilities,1741781793.0,2010,Sum,Sector
Communication Services,10674036036.0,2011,Sum,Sector
Consumer Discretionary,10756404694.0,2011,Sum,Sector
Consumer Staples,2036418342.0,2011,Sum,Sector
Energy,5977925906.0,2011,Sum,Sector
Financials,5955597932.0,2011,Sum,Sector
Health Care,13851114814.0,2011,Sum,Sector
Industrials,14828507122.0,2011,Sum,Sector
Information Technology,23407373836.0,2011,Sum,Sector
Materials,372845198.0,2011,Sum,Sector
Real Estate,901768975.0,2011,Sum,Sector
Utilities,735508340.0,2011,Sum,Sector
Communication Services,13554362290.0,2012,Sum,Sector
Consumer Discretionary,10196563195.0,2012,Sum,Sector
Consumer Staples,950160702.0,2012,Sum,Sector
Energy,4807626485.0,2012,Sum,Sector
Financials,4439636842.0,2012,Sum,Sector
Health Care,12477680032.0,2012,Sum,Sector
Industrials,12709505138.0,2012,Sum,Sector
Information Technology,28003422639.0,2012,Sum,Sector
Materials,632699303.0,2012,Sum,Sector
Real Estate,837779243.0,2012,Sum,Sector
Utilities,452874176.0,2012,Sum,Sector
Communication Services,13792313170.0,2013,Sum,Sector
Consumer Discretionary,12411255355.0,2013,Sum,Sector
Consumer Staples,1487414291.0,2013,Sum,Sector
Energy,6653648038.0,2013,Sum,Sector
Financials,7060285454.0,2013,Sum,Sector
Health Care,21029021489.0,2013,Sum,Sector
Industrials,17974887177.0,2013,Sum,Sector
Information Technology,35237813389.0,2013,Sum,Sector
Materials,475799905.0,2013,Sum,Sector
Real Estate,2012546911.0,2013,Sum,Sector
Utilities,1327436609.0,2013,Sum,Sector
Communication Services,37818281130.0,2014,Sum,Sector
Consumer Discretionary,29232000585.0,2014,Sum,Sector
Consumer Staples,7096808809.0,2014,Sum,Sector
Energy,10343750061.0,2014,Sum,Sector
Financials,26717002714.0,2014,Sum,Sector
Health Care,31040385403.0,2014,Sum,Sector
Industrials,34150034431.0,2014,Sum,Sector
Information Technology,79911009340.0,2014,Sum,Sector
Materials,4072938007.0,2014,Sum,Sector
Real Estate,5722069962.0,2014,Sum,Sector
Utilities,3569876071.0,2014,Sum,Sector
Communication Services,18006651687.0,2015,Sum,Sector
Consumer Discretionary,37892615636.0,2015,Sum,Sector
Consumer Staples,5375439982.0,2015,Sum,Sector
Energy,6402464265.0,2015,Sum,Sector
Financials,23088691388.0,2015,Sum,Sector
Health Care,27044387251.0,2015,Sum,Sector
Industrials,52145251473.0,2015,Sum,Sector
Information Technology,58432463992.0,2015,Sum,Sector
Materials,823067990.0,2015,Sum,Sector
Real Estate,4908432285.0,2015,Sum,Sector
Utilities,1874952708.0,2015,Sum,Sector
Consumer Discretionary,1.0,1977,Count,Sector
Consumer Staples,1.0,1977,Count,Sector
Information Technology,1.0,1977,Count,Sector
Information Technology,1.0,1979,Count,Sector
Consumer Discretionary,1.0,1982,Count,Sector
Health Care,1.0,1982,Count,Sector
Communication Services,1.0,1984,Count,Sector
Information Technology,1.0,1984,Count,Sector
Industrials,1.0,1985,Count,Sector
Information Technology,1.0,1985,Count,Sector
Communication Services,1.0,1987,Count,Sector
Consumer Discretionary,1.0,1987,Count,Sector
Industrials,2.0,1987,Count,Sector
Information Technology,1.0,1987,Count,Sector
Materials,1.0,1987,Count,Sector
Industrials,1.0,1989,Count,Sector
Communication Services,2.0,1990,Count,Sector
Consumer Discretionary,2.0,1990,Count,Sector
Industrials,1.0,1990,Count,Sector
Information Technology,1.0,1990,Count,Sector
Consumer Staples,1.0,1992,Count,Sector
Industrials,1.0,1992,Count,Sector
Information Technology,2.0,1992,Count,Sector
Industrials,1.0,1993,Count,Sector
Communication Services,1.0,1994,Count,Sector
Consumer Staples,1.0,1994,Count,Sector
Energy,1.0,1994,Count,Sector
Financials,2.0,1994,Count,Sector
Industrials,1.0,1994,Count,Sector
Information Technology,4.0,1994,Count,Sector
Communication Services,2.0,1995,Count,Sector
Consumer Discretionary,3.0,1995,Count,Sector
Financials,2.0,1995,Count,Sector
Industrials,1.0,1995,Count,Sector
Information Technology,5.0,1995,Count,Sector
Communication Services,3.0,1996,Count,Sector
Financials,2.0,1996,Count,Sector
Industrials,4.0,1996,Count,Sector
Information Technology,9.0,1996,Count,Sector
Communication Services,5.0,1997,Count,Sector
Consumer Discretionary,1.0,1997,Count,Sector
Financials,3.0,1997,Count,Sector
Industrials,7.0,1997,Count,Sector
Information Technology,13.0,1997,Count,Sector
Communication Services,9.0,1998,Count,Sector
Consumer Discretionary,5.0,1998,Count,Sector
Financials,3.0,1998,Count,Sector
Health Care,1.0,1998,Count,Sector
Industrials,8.0,1998,Count,Sector
Information Technology,20.0,1998,Count,Sector
Real Estate,3.0,1998,Count,Sector
Communication Services,42.0,1999,Count,Sector
Consumer Discretionary,24.0,1999,Count,Sector
Consumer Staples,4.0,1999,Count,Sector
Energy,2.0,1999,Count,Sector
Financials,15.0,1999,Count,Sector
Health Care,6.0,1999,Count,Sector
Industrials,44.0,1999,Count,Sector
Information Technology,106.0,1999,Count,Sector
Real Estate,3.0,1999,Count,Sector
Utilities,1.0,1999,Count,Sector
Communication Services,76.0,2000,Count,Sector
Consumer Discretionary,32.0,2000,Count,Sector
Consumer Staples,2.0,2000,Count,Sector
Energy,2.0,2000,Count,Sector
Financials,32.0,2000,Count,Sector
Health Care,35.0,2000,Count,Sector
Industrials,113.0,2000,Count,Sector
Information Technology,186.0,2000,Count,Sector
Materials,2.0,2000,Count,Sector
Real Estate,3.0,2000,Count,Sector
Communication Services,90.0,2001,Count,Sector
Consumer Discretionary,54.0,2001,Count,Sector
Consumer Staples,6.0,2001,Count,Sector
Energy,3.0,2001,Count,Sector
Financials,53.0,2001,Count,Sector
Health Care,54.0,2001,Count,Sector
Industrials,159.0,2001,Count,Sector
Information Technology,301.0,2001,Count,Sector
Materials,3.0,2001,Count,Sector
Real Estate,10.0,2001,Count,Sector
Utilities,3.0,2001,Count,Sector
Communication Services,73.0,2002,Count,Sector
Consumer Discretionary,34.0,2002,Count,Sector
Consumer Staples,5.0,2002,Count,Sector
Energy,7.0,2002,Count,Sector
Financials,29.0,2002,Count,Sector
Health Care,75.0,2002,Count,Sector
Industrials,131.0,2002,Count,Sector
Information Technology,282.0,2002,Count,Sector
Materials,2.0,2002,Count,Sector
Real Estate,8.0,2002,Count,Sector
Utilities,2.0,2002,Count,Sector
Communication Services,92.0,2003,Count,Sector
Consumer Discretionary,70.0,2003,Count,Sector
Consumer Staples,10.0,2003,Count,Sector
Energy,10.0,2003,Count,Sector
Financials,35.0,2003,Count,Sector
Health Care,144.0,2003,Count,Sector
Industrials,173.0,2003,Count,Sector
Information Technology,388.0,2003,Count,Sector
Materials,10.0,2003,Count,Sector
Real Estate,11.0,2003,Count,Sector
Utilities,3.0,2003,Count,Sector
Communication Services,132.0,2004,Count,Sector
Consumer Discretionary,93.0,2004,Count,Sector
Consumer Staples,4.0,2004,Count,Sector
Energy,25.0,2004,Count,Sector
Financials,59.0,2004,Count,Sector
Health Care,173.0,2004,Count,Sector
